Species.name.standardized.TPL.2016,Leaf.Area..mm2.,Nmass..mg.g.,LMA..g.m2.,Plant.Height..m.,Seed.Mass..mg.,SSD.combined..mg.mm3.
Potamogeton alpinus,749.58,36.585,13.265,0.238,2.1817,0.151
Potamogeton berchtoldii,40.86,34.777,14.878,0.316,0.9531,0.142
Potamogeton crispus,337.09,35.984,16.39,0.497,0.09,0.05
Potamogeton lucens,1953.85,46.685,19.39,1.342,5.008,0.138
Potamogeton natans,2369.5,38.114,35.384,0.165,5.7488,0.186
Potamogeton nodosus,3454.16,34.912,35.429,0.389,3.83,0.15
Potamogeton perfoliatus,648.45,35.598,19.312,0.548,3.3661,0.155
Potentilla alba,1561.09,35.457,68.373,0.116,0.6,0.266
Potentilla anserina,928.14,24.975,52.045,0.161,0.5916,0.206
Potentilla aurea,1012.5,28.827,45.875,0.088,0.33,0.222
Potentilla crantzii,71.23,28.7,65.83,0.089,0.4849,0.248
Potentilla crinita,600,21.27,90.909,0.05,0.94,0.287
Potentilla erecta,109.62,22.926,41.274,0.167,0.2715,0.348
Potentilla hippiana,977.7,19.716,91.743,0.07,0.6161,0.24
Potentilla neumanniana,317.31,17.678,72.798,0.049,0.788,0.276
Potentilla norvegica,1673.94,19.285,47.047,0.513,0.1,0.26
Potentilla reptans,1163.93,26.678,43.273,0.116,0.2882,0.201
Potentilla subviscosa,310,18.67,67.568,0.02,0.19,0.253
Poulsenia armata,21614.12,17.439,92.251,36.404,72.0433,0.397
Pourouma bicolor,80875.08,19.394,90.116,18.782,319.56,0.37
Pourouma cecropiifolia,19938.67,20.065,76.73,21.011,500,0.34
Pouteria campechiana,11028.92,25.9,73.099,8.956,1350,0.775
Pouteria cladantha,6556.9,38.21,75.358,25,503.8731,0.821
Pouteria cuspidata,4894.36,15.039,107.273,31.568,340,0.745
Pouteria durlandii,5259.24,19.326,106.103,17.784,1800,0.635
Pouteria ephedrantha,7286.03,15.76,122.399,40,16632.94,0.725
Pouteria glomerata,8168.61,35.28,79.29,24.764,811.3877,0.634
Pouteria guianensis,10190.72,25.991,95.42,38.879,2751.7053,0.871
Pouteria laevigata,3258.74,32.605,52.641,30.34,6000,0.677
Pouteria macrophylla,7461.49,20.106,78.949,29.363,9150,0.765
Pouteria reticulata,5956.33,25.201,69.478,26.405,581.82,0.702
Pradosia cochlearia,1410.14,13.089,145.601,25.669,2000,0.73
Prenanthes purpurea,2945.25,30,15.184,0.789,0.28,0.159
Primula auricula,2711,22.579,31.898,0.114,0.2675,0.133
Primula elatior,4203.38,22.419,40.125,0.136,0.654,0.167
Primula farinosa,220.5,21.536,43.584,0.13,0.0673,0.185
Primula glaucescens,609.09,13.904,85.296,0.072,0.2646,0.198
Primula hirsuta,232.44,35.349,55.352,0.056,0.19,0.16
Primula veris,3032.48,16.4,51.321,0.151,0.8344,0.227
Primula vulgaris,4278.47,23.927,30.698,0.097,0.9502,0.174
Prioria copaifera,3180.68,20.819,94.165,38.146,44844.8425,0.405
Prosopis alba,33.39,23.24,117.37,9.999,49.9,0.767
Prosopis alpataco,36.42,24.156,166.667,4.83,41.25,0.665
Prosopis flexuosa,37.46,32.775,68.832,5.662,28,0.762
Prosopis glandulosa,80,26.94,153.244,5.755,71.5834,0.736
Prosopis nigra,18.52,31.28,73.3,7.9,100,0.832
Prosopis torquata,1.59,26.6,52.16,3.08,16,1.18
Protea laurifolia,1437.28,6.371,338.461,1.584,16.005,0.525
Protea repens,460.32,5.923,293.943,3,59.203,0.579
Protium heptaphyllum,3743.28,16.352,81.367,20,116.61,0.709
Protium panamense,13409.6,18.11,100.621,21.847,1374.2352,0.467
Protium tenuifolium,7331.24,17.11,81.979,22.81,177.3884,0.578
Prunella grandiflora,204.82,18.414,52.975,0.15,1.0374,0.19
Prunella laciniata,316.25,14.551,60.707,0.156,1.1842,0.21
Prunella vulgaris,472.55,19.172,34.864,0.145,0.73,0.167
Prunus armeniaca,1291.22,21.157,97.805,4.214,1212.1041,0.67
Prunus avium,2141.06,20.767,56.703,16.56,185.4882,0.6
Prunus cerasifera,1969.79,18.25,49.524,6.617,546.8718,0.678
Prunus cerasoides,4111.5,27.85,143.219,10,319.8534,0.63
Prunus ilicifolia,714.46,17.797,162.348,6.226,1309.2617,0.73
Prunus lusitanica,3342.08,12.428,157.027,8.554,75.1,0.61
Prunus mahaleb,706.76,20.217,64.403,5.247,83.6934,0.767
Prunus padus,3141.59,20.411,52.643,10.048,80.9336,0.45
Prunus pensylvanica,2047.7,23.478,60.791,11.109,39.0131,0.36
Prunus persica,2094.53,38.724,54.332,8,2238.0787,0.655
Prunus serotina,2115.27,25.296,58.109,13.313,98.5236,0.605
Prunus spinosa,419.61,26.591,66.66,2.054,140.6813,0.55
Pseudobombax septenatum,6173.42,20.314,70.795,32.495,61.7849,0.204
Pseudocymopterus montanus,500,28.196,70.922,0.23,2.1249,0.253
Pseudognaphalium macounii,200,22.95,52.632,0.2,0.04,0.169
Pseudolmedia glabrata,5460.38,11.45,69.361,30,500,0.7
Pseudolmedia laevis,3955.55,19.059,93.549,39.616,279.43,0.568
Pseudomalmea diclina,6326.88,28.776,48.362,35,657.35,0.815
Pseudosclerochloa rupestris,84,15.856,76.336,0.26,0.4629,0.225
Pseudotsuga menziesii,31.17,11.841,161.131,65.28,12.6048,0.457
Psidium cattleianum,1149,12.338,182.54,6.675,20,1.12
Psidium friedrichsthalianum,2402.21,17.29,56.672,13.129,41.1044,0.74
Psidium guajava,3048.58,18.963,107.284,9.134,10.3255,0.68
Psychotria carthagenensis,5734.41,33.33,58.88,1.592,11.25,0.454
Psychotria chagrensis,1138.38,19.647,42.247,3.438,18.8847,0.595
Psychotria cuspidata,4567.94,27.343,29.067,2.92,12.2642,0.528
Psychotria deflexa,3256.76,32.375,43.043,3.426,4.0988,0.545
Psychotria grandis,14755.24,18.706,63.952,9.901,13.98,0.505
Psychotria horizontalis,5766.91,12.919,57.516,2.25,6.3166,0.645
Psychotria limonensis,14633.36,15,52.2,2.597,7.5219,0.375
Psychotria marginata,4745.42,13.5,64.166,4.214,10.3187,0.585
Psychotria racemosa,5124.36,33.056,38.732,2.354,3.44,0.625
Pteleopsis myrtifolia,230,22.51,107.527,14.142,31.65,0.534
Pterocarpus erinaceus,981.62,26.804,67.673,4.717,196.7981,0.74
Pterocarpus officinalis,15339.35,21.036,34.27,12.145,1804.7963,0.423
Pterocarpus rohrii,8056.11,31.161,41.122,32.211,144.1111,0.484
Pterospermum acerifolium,10621.41,14.3,95.785,17.854,230.79,0.617
Pterygota alata,25739,22.8,87.566,22,639.5858,0.497
Puccinellia distans,137.52,14.792,35.118,0.188,0.1948,0.162
Pueraria montana var. lobata,9050,27.55,28.516,12,12.6902,0.249
Pulmonaria officinalis,6529.5,17.3,33.432,0.215,3.64,0.154
Punica granatum,543.6,11,111.669,3.979,21.9092,0.77
Pycnanthus angolensis,12822.21,23.086,63.541,28.531,1909,0.4
Pyracantha angustifolia,236,18.32,142.55,4.342,37.1528,0.61
Pyrola minor,299.44,15.9,45.754,0.078,0.0022,0.242
Qualea albiflora,1050.24,17.252,89.967,25.891,519.0097,0.602
Quararibea asterolepis,7662.91,23.494,65.446,36.108,283.3181,0.475
Quararibea cordata,20810.65,23.813,87.968,40,2093.47,0.369
Quassia amara,4236,21.483,55.166,9.877,157.71,0.506
Quercus acutissima,1363.27,14.701,64.02,21.33,3440.8511,0.726
Quercus agrifolia,1045.4,12.779,173.476,14.422,2269.7278,0.69
Quercus alba,7186.06,20.477,68.709,28.278,3111.1077,0.685
Quercus aliena,9500,21.125,45.005,22.25,1124.45,0.678
Quercus cerris,2766.85,20.698,101.531,33.034,3453.8412,0.7
Quercus coccinea,18800,15.981,91.097,27.065,1930.4788,0.63
Quercus douglasii,1145.14,19.122,133.341,17.508,4539.1578,0.75
Quercus durata,346.57,13.7,166.59,2.846,3095.84,0.68
Quercus faginea,1034.91,17.876,122.168,19.68,1300.8771,0.791
Quercus falcata,8233.56,15.877,81.435,19.761,798.7854,0.625
Quercus gambelii,2839.24,23.43,82.645,12.924,1048.4206,0.62
Quercus glauca,3009.5,12.765,70.922,20.104,526.32,0.726
Quercus ilex,762.91,13.981,165.288,9.34,1900.9854,0.9
Quercus incana,1727.56,12.894,97.731,6.941,1000,0.71
Quercus kelloggii,4225.71,17.104,102.642,29.666,4778.2914,0.606
Quercus laevis,10272.15,13.85,106.774,10.718,1148.8913,0.63
Quercus laurifolia,2000.39,14.903,76.566,14.774,810.4266,0.648
Quercus lobata,2643.92,22.204,111.293,23.293,4502.9551,0.7
Quercus lusitanica,687,14.4,147.929,1.5,8058.1587,0.7
Quercus macrocarpa,5409.77,22.145,65.701,28.478,6233.4608,0.67
Quercus michauxii,8131.49,17.117,66.539,18.892,4936.7415,0.7
Quercus mongolica,5682.94,20.158,71.132,31.623,1563.242,0.609
Quercus nigra,3054.01,16.03,78.384,13.212,1140.1384,0.69
Quercus petraea,2985.81,19.866,72.335,31.439,579.4958,0.579
Quercus robur,2991.55,21.811,72.498,27.075,3048.0211,0.581
Quercus rubra,6217.05,21.01,67.435,18.285,2696.9167,0.657
Quercus shumardii,4072,16.6,98.717,33.554,4537.5861,0.64
Quercus stellata,4442.09,16.322,142.045,18.28,1194.079,0.73
Quercus suber,703.3,15.754,147.157,18.612,1785.9821,0.821
Quercus variabilis,4062,19.6,57.039,25,4364.2291,0.753
Quercus velutina,14822.2,19.004,70.211,27.294,1851.4861,0.67
Quercus virginiana,1348.99,15.154,147.017,14.424,1246.9761,0.944
Quintinia acutifolia,1691.34,13.568,130.18,12,0.07,0.659
Randia armata,6357.13,29.927,53.917,13.346,97.8819,0.724
Ranunculus aconitifolius,26252.32,25.62,35.263,0.27,4.63,0.148
Ranunculus acris,595.19,25.736,48.233,0.352,1.4466,0.156
Ranunculus aquatilis,116.66,52.951,29.367,0.177,0.3487,0.203
Ranunculus arvensis,576,22.093,36.503,0.379,12.2356,0.164
Ranunculus bulbosus,895.84,27.778,51.704,0.192,2.425,0.127
Ranunculus fluitans,646.92,30.972,46.123,0.337,0.56,0.157
Ranunculus gramineus,161.96,19.07,77.317,0.123,1.1525,0.26
Ranunculus oreophilus,716.49,28.143,61.728,0.3,1.13,0.201
Ranunculus penicillatus,40.2,43.5,26.438,1.474,0.385,0.154
Ranunculus platanifolius,8756.93,26.905,49.813,0.628,1.25,0.171
Ranunculus repens,1845.43,23.976,40.712,0.19,2.3077,0.099
Ranunculus sceleratus,1086.39,33.502,38.442,0.381,0.1357,0.185
Ranunculus thora,4754.21,23.517,56.019,0.182,2.46,0.203
Ranunculus trichophyllus,390.19,36.184,28.125,0.2,0.302,0.175
Rapanea melanophloeos,1706.82,15.992,156.58,7.348,39.96,0.675
Rapistrum rugosum,2131.43,40.173,40.353,0.233,1.6338,0.174
Ratibida pinnata,583.54,8.6,67.429,0.903,0.6096,0.231
Reseda phyteuma,257.32,47.5,62.112,0.219,1.74,0.19
Reynoutria japonica,8356.7,22.19,75.406,1.668,1.2996,0.19
Rhamnus alaternus,136.4,24.291,151.286,2.859,17.1862,0.737
Rhamnus cathartica,655.96,24.366,58.488,3.292,20.3745,0.658
Rhamnus crocea,97.32,20.038,112.281,2.108,6.848,0.75
Rhamnus lycioides,31.4,29.5,141.622,1.507,5.5831,0.764
Rhinanthus glacialis,44.7,35.15,44.385,0.268,3.43,0.266
Rhinanthus minor,174.47,33.99,48.963,0.255,2.5352,0.178
Rhizophora mangle,5046.14,11.762,162.73,20.799,10100,0.894
Rhodamnia cinerea,2314.22,7.6,159.454,17.927,30,0.87
Rhododendron maximum,12000,9.742,165.361,3.715,1.345,0.5
Rhus typhina,1174.13,25.203,61.382,6.885,10.3222,0.45
Rhynchospora alba,288,13.09,43.533,0.271,0.4272,0.302
Ribes alpinum,630,18.8,61.705,1.279,4.5492,0.577
Ribes californicum,385.91,20.966,73.27,2.771,2.3581,0.73
Ribes divaricatum,1198,22.8,28.918,3.2,2.06,0.68
Ribes malvaceum,1240,19.6,60.588,1.265,1.7167,0.67
Ribes rubrum,3696.91,21.76,36.296,1.299,9.16,0.45
Ribes sanguineum,3295,25.4,45.305,1.828,2.4805,0.6
Robinia pseudoacacia,753.26,36.287,51.344,17.437,17.8953,0.721
Robinsonella mirandae,8161.6,19.51,60.042,30,2,0.5
Rollinia pittieri,6633.66,24.701,72.942,36.056,40,0.298
Rosa californica,248,15.9,45.662,2.403,8.9495,0.7
Rosa spithamea,165,14.4,39.573,0.9,0.31,0.61
Rosa woodsii,714.9,14.91,63.291,0.996,7.9235,0.574
Rosmarinus officinalis,32.15,12.551,171.524,1.253,0.9146,0.599
Roupala montana,2149.36,10.053,198.1,4.821,40.6104,0.776
Rubus caesius,4886.15,20.227,47.7,0.393,3.1102,0.268
Rubus chamaemorus,1923.79,21.876,77.833,0.103,8.0548,0.232
Rubus fruticosus,1894.17,25.563,62.287,1.491,2.4695,0.293
Rubus parviflorus,15257,21.9,22.257,1.476,1.1531,0.65
Rubus saxatilis,4889.51,20.796,40.093,0.202,9.8896,0.3
Rubus ursinus,1793,20.1,34.59,1.2,1.9077,0.42
Ruellia humilis,582.25,21.183,82.85,0.284,3.7857,0.554
Rumex acetosa,1674.17,36.115,36.033,0.437,0.706,0.151
Rumex acetosella,161.17,30.123,45.385,0.179,0.4017,0.369
Rumex alpestris,4946.71,45.514,30.412,0.343,0.76,0.159
Rumex aquaticus,21992.29,35.52,43.374,1.075,2.1067,0.169
Rumex crispus,3542.72,28.445,51.678,0.826,1.6499,0.35
Rumex obtusifolius,25207.34,35.548,36.045,0.505,1.4025,0.116
Sagina procumbens,6.93,15.952,50.917,0.038,0.0127,0.144
Salicornia europaea,106.1,12.928,297.179,0.164,0.4908,0.216
Salix alba,652.39,25.136,84.749,17.363,0.12,0.35
Salix babylonica,538.41,26.4,59.075,10.375,0.03,0.442
Salix caprea,2579.99,26.401,69.674,6.156,0.0871,0.511
Salix cinerea,846.05,19.673,92.489,3.456,0.0687,0.42
Salix lasiolepis,1968,18.2,77.7,8.941,0.1298,0.52
Salix lucida,1974,29.6,50.582,10.813,0.0825,0.43
Salix nigra,739.76,24.726,55.866,30.67,0.1039,0.41
Salix purpurea,130,23.55,96.18,2.886,0.09,0.429
Salix repens,161.59,16.631,87.506,0.408,0.04,0.447
Salix triandra,788.68,24.995,82.855,3.679,0.02,0.35
Salsola kali,29.92,37.185,119.874,0.396,2.1215,0.146
Salsola kaliruthenica,79,28.715,60.749,0.331,1.7,0.19
Salvia glutinosa,11482.75,39.196,18.65,0.544,4.4335,0.148
Salvia pratensis,6894.74,19.3,47.936,0.484,2.2302,0.185
Sambucus canadensis,6543.64,23.371,64.962,6.493,2.6332,0.481
Sambucus nigra,1060.6,35.907,47.889,4.513,3.1067,0.345
Samolus valerandi,262.37,19.374,42.897,0.239,0.0203,0.182
Sanguisorba minor,354.23,20.21,57.176,0.178,4.1368,0.215
Sanguisorba officinalis,338.46,18.886,44.044,0.532,1.9772,0.241
Sanicula europaea,2699.6,21.907,28.132,0.298,3.0156,0.195
Santalum acuminatum,485.39,10.061,292.975,4.481,1023.252,0.67
Sapindus mukorossi,25739,22.517,52.411,21.544,635.7588,0.7
Sapindus saponaria,13635.18,29.487,43.769,12.815,462.5655,0.66
Sapium glandulosum,3565.64,21.46,82.904,22.136,29.4101,0.477
Sapium sebiferum,2371.52,22.959,49.056,7.805,169.9044,0.469
Saponaria ocymoides,42.59,33.689,41.211,0.186,2.6424,0.217
Saponaria officinalis,2109.45,7.986,44.124,0.509,1.5879,0.195
Sarracenia purpurea,8017.49,10.999,109.621,0.245,1.5088,0.201
Saurauia tristyla,6766,22.73,54.5,4.5,0.08,0.335
Saussurea alpina,579.7,19.54,54.361,0.15,1.4029,0.185
Saxegothaea conspicua,40,9.31,130.57,19.655,10,0.5
Saxifraga aizoides,24.45,12.518,74.079,0.068,0.0496,0.177
Saxifraga oppositifolia,32,18.014,60.406,0.102,0.1024,0.23
Saxifraga rotundifolia,1875.92,17.94,52.344,0.263,0.04,0.166
Scabiosa atropurpurea,946.75,27.331,79.104,0.637,1.6513,0.196
Scaphium macropodum,17634.28,15.18,40.339,30,2210,0.466
Schefflera actinophylla,9050,15.2,148.81,5,6.9146,0.41
Schefflera heptaphylla,9500,16.6,93.164,12.16,5.6,0.366
Schefflera morototoni,57304.18,17.42,110.968,27.567,24.1974,0.486
Schima wallichii,7736.35,7.7,99.01,16.667,4.4697,0.548
Schinopsis marginata,255.04,17.928,95.951,9.162,137.4,0.99
Schizachyrium condensatum,985.79,12.046,65.075,0.359,0.2628,0.316
Schizachyrium scoparium,570.95,11.985,54.254,0.77,0.7902,0.316
Schizolobium parahyba,4763.94,22.004,51.89,27.764,687.5568,0.372
Schleichera oleosa,25739,17.9,81.301,7,554.8534,0.887
Schoenoplectus lacustris,1355.32,17,65.45,1.967,1.9224,0.137
Schoenus nigricans,624.13,15.123,144.626,0.293,0.6194,0.348
Scilla bifolia,2376.75,44.833,24.125,0.151,9.1899,0.065
Scirpus microcarpus,5839.17,15.014,54.543,1.247,0.1082,0.323
Scleranthus annuus,4.58,22.555,31.713,0.088,1.1994,0.177
Sclerocarya birrea,25649.64,15.08,126.904,17,2221.9462,0.5
Scolopia zeyheri,400,18.23,179.856,8,17.6,0.71
Scorzonera austriaca,1971.49,31.646,64.69,0.158,6.4901,0.21
Scorzoneroides autumnalis,209.03,20.31,39.389,0.131,0.6735,0.192
Scorzoneroides helvetica,193.7,29.061,71.874,0.122,1.71,0.231
Scrophularia nodosa,5820.65,28.812,33.547,0.75,0.0945,0.19
Securigera varia,1613.33,41.656,38.024,0.377,4.0651,0.161
Sedum acre,12.25,15.17,83.595,0.071,0.0336,0.127
Sedum album,14.04,11.568,60.11,0.113,0.0255,0.122
Sedum roseum,120,31.207,41.054,0.179,0.31,0.148
Sedum telephium,772.11,24.86,54.781,0.418,0.0492,0.127
Sedum tenellum,3.7,12.73,88.652,0.07,0.01,0.196
Sempervivum tectorum,373.43,15.724,75.874,0.265,0.0096,0.114
Senecio actinella,380,19.39,77.519,0.04,0.94,0.164
Senecio doronicum,1789.2,28.586,78.486,0.204,0.28,0.163
Senecio eremophilus,880,34.33,39.526,0.67,0.55,0.154
Senecio inaequidens,207.88,19.019,52.568,0.602,0.2167,0.47
Senecio nemorensis,5047.75,37.68,31.756,1.188,0.77,0.164
Senecio ovatus,7779.79,29.892,36.097,0.985,1.2558,0.147
Senecio vulgaris,368.71,38.188,32.964,0.284,0.2452,0.137
Sequoia sempervirens,24,10.264,252.022,89.89,4.3077,0.449
Sequoiadendron giganteum,4,10.5,542.588,84.187,5.5453,0.43
Serratula tinctoria,3936.59,12.744,51.526,0.445,2.3484,0.193
Seseli montanum,317,21.101,84.008,0.321,1.162,0.224
Sesleria albicans,832.5,19.81,48.263,0.161,0.6194,0.26
Sesleria caerulea,464.41,19.31,70.648,0.223,1.4594,0.291
Setaria italica,5638.5,14.935,41.824,0.824,2.2444,0.18
Setaria pampeana,2713.5,24.696,52.281,0.373,0.54,0.228
Setaria parviflora,851.25,17.086,77.044,0.251,0.9261,0.251
Setaria pumila,1890.75,25.09,38.099,0.448,1.5847,0.188
Setaria viridis,936.14,22.704,30.981,0.296,1.2959,0.219
Shorea gibbosa,1427.52,17.4,65.789,27.386,1080,0.453
Shorea leprosula,4205.15,19.964,45.673,25.159,570,0.364
Shorea macroptera,4426.12,13.834,114.817,19.504,679.9899,0.423
Shorea parvifolia,1765.12,19.282,108.63,25.508,617.0267,0.391
Shorea smithiana,8747.53,17.59,89.833,22.104,5000,0.352
Sibbaldia procumbens,160.36,25.179,60.776,0.028,0.5098,0.275
Sideroxylon inerme,1484.72,18.6,178.297,5.477,173.03,0.85
Silene acaulis,8.06,15,57.666,0.031,0.3061,0.19
Silene dioica,3533,30.11,27.656,0.556,0.6827,0.154
Silene flos-cuculi,569.24,15.55,39.958,0.456,0.1728,0.241
Silene gallica,449,15.64,39.318,0.267,0.4091,0.182
Silene italica,1002,19.18,56.175,0.401,0.5115,0.253
Silene nutans,349.07,35.74,47.658,0.362,0.3454,0.196
Silene otites,169.42,30.078,77.335,0.265,0.2148,0.214
Silene rupestris,104,13.784,32.938,0.146,0.0732,0.19
Silene viscaria,476.5,17,76.335,0.356,0.0583,0.253
Silene vulgaris,1263.74,26.952,46.934,0.398,0.8341,0.183
Silphium laciniatum,6950.45,22,257.732,0.701,33.78,0.417
Silphium terebinthinaceum,21771.62,14.4,228.311,0.114,17.4758,0.342
Simarouba amara,1948.5,15.409,118.251,18.583,566.1377,0.438
Sloanea guianensis,3575.03,15.126,114.725,19.704,105.21,0.764
Sloanea terniflora,3253.17,17.503,73.874,33.47,88.8,0.815
Solanum dulcamara,1408.31,39.562,28.657,1.012,1.489,0.23
Solanum hayesii,29631.37,26.98,62.212,11,2.1916,0.405
Solanum tuberosum,13128,36.833,42.157,0.652,0.7,0.159
Solanum umbelliferum,201.5,31.9,70.425,1.949,9.13,0.54
Soldanella pusilla,80.65,20.404,49.119,0.044,0.24,0.224
Solidago canadensis,894.72,16.25,60.798,0.817,0.0752,0.245
Solidago gigantea,755.98,11.969,61.878,1.083,0.1273,0.257
Solidago nana,150,12.25,82.645,0.21,0.2693,0.376
Solidago nemoralis,599.65,12.669,113.016,0.49,0.1447,0.326
Solidago rigida,3185.69,12.368,106.811,1.161,0.4925,0.226
Solidago rugosa,1182.58,19.1,42.597,0.797,0.1127,0.25
Solidago velutina,370,23.4,80.645,0.35,0.2404,0.396
Solidago virgaurea,984.1,28.308,43.45,0.508,0.5188,0.201
Sonchus asper,5059.97,7.226,41.318,0.493,0.2681,0.157
Sonchus oleraceus,2619.09,34.9,27.731,0.795,0.2867,0.156
Sorbus aria,4806.58,19.118,66.104,7.213,34.0266,0.726
Sorbus aucuparia,616.09,21.969,69.498,13.475,3.4691,0.592
Sorbus torminalis,6209.69,17.68,40.985,10.195,34.7318,0.658
Sorghastrum nutans,1393.18,12.851,63.778,1.237,1.6951,0.351
Sorghum bicolor,13406.48,23.776,48.111,1.609,11.1832,0.261
Sorghum halepense,5260.54,22.207,56.732,1.406,3.4639,0.305
Sorocea affinis,2946.3,24.63,48.597,12.344,83.65,0.64
Sorocea steinbachii,9623.88,25.868,61.743,7,134.53,0.55
Sparganium angustifolium,1156.6,23.18,27.548,0.158,2.3679,0.127
Sparganium emersum,3885.19,36.83,27.454,0.34,3.7313,0.088
Sparganium erectum,14074.25,19.045,54.59,0.51,16.3934,0.124
Spartina anglica,1697,19,106.383,0.866,12.1,0.322
Spathodea campanulata,5227.04,20.982,103.734,7.545,4.5053,0.317
Spergula arvensis,11.06,29.6,72.308,0.27,0.4435,0.169
Spergularia diandra,9.04,23.677,102.949,0.046,0.0141,0.179
Spergularia rubra,9.17,27.1,61.832,0.109,0.0301,0.164
Sphaeralcea ambigua,678.31,46.27,41.029,1.52,1.2248,0.236
Spondias mombin,3967.89,21.522,75.041,31.047,609.5779,0.384
Spondias pinnata,3019,17.6,77.22,7,10000,0.286
Spondias radlkoferi,2014.72,15.785,65.441,31.122,997.39,0.39
Sporobolus heterolepis,512.45,9.68,58.491,0.7,1.0268,0.364
Sporobolus interruptus,180,11.79,92.593,0.338,0.7068,0.446
Sporobolus vaginiflorus,59.08,11.92,21.322,0.148,0.4898,0.527
Stachys alopecuros,3824.81,27.08,42.076,0.293,1.094,0.185
Stachys officinalis,2850.02,25.321,52.15,0.317,1.0761,0.147
Stachys palustris,937.13,25,40.627,0.554,1.0986,0.19
Stachys recta,737.09,28.185,35.045,0.358,1.4025,0.203
Stachys sylvatica,1846.03,26.168,23.807,0.58,1.3681,0.2
Stellaria graminea,110.34,30.526,32.23,0.334,0.277,0.201
Stellaria holostea,151.63,24.584,35.997,0.249,2.7902,0.188
Stellaria media,262.73,33.552,20.646,0.152,0.3667,0.122
Stellaria neglecta,313.02,46.149,15.756,0.442,0.7862,0.135
Stellaria nemorum,1545.9,22.43,22.465,0.406,0.2237,0.168
Stellaria pallida,25.5,31.427,23.887,0.152,0.115,0.156
Stenaria nigricans,18.46,15.095,68.485,0.214,0.0909,0.221
Sterculia apetala,36901.83,21.319,88.397,27.388,1654.6507,0.379
Sterculia speciosa,40787.8,18.486,105.789,17.343,4979.4728,0.486
Stipa calamagrostis,4383.18,18.4,60.955,0.731,0.3354,0.284
Stipa capensis,36.98,25.573,98.726,0.09,1.027,0.318
Stipa capillata,426,17.367,132.275,0.573,4.9101,0.562
Stipa comata,90,18.422,98.806,0.414,4.469,0.286
Stipa ichu,609.97,18.47,208.568,1.082,0.2705,0.5
Stipa parviflora,24.24,10.524,211.921,0.65,1.19,0.367
Stipa pennata,332.25,15.79,104.111,0.51,22.7664,0.499
Stipa spartea,628.82,19.673,109.952,1.011,12.9498,0.38
Stipa tenacissima,784.66,8.653,320.675,1.013,3.4728,0.46
Stipagrostis ciliata,16.89,11.997,253.69,0.85,2.19,0.394
Strychnos decussata,550,28.525,95.877,7.417,975.19,0.75
Strychnos madagascariensis,1012.5,16.97,97.276,6.694,1343.84,0.66
Stuckenia pectinata,29.99,36.519,24.01,0.949,5.7049,0.15
Stylogyne ardisioides,13286.57,12.78,97.371,6,78,0.53
Stylogyne turbacensis,10142,13.095,103.29,3.5,67.3,0.565
Suaeda maritima,28.28,17.497,94.691,0.344,0.4053,0.137
Succisa pratensis,2091.26,14.103,59.805,0.327,1.2385,0.257
Swartzia brachyrachis,3000,26.087,102.775,12,1373.6508,0.782
Swartzia simplex,4230.32,31.344,85.177,14.281,1088.2043,0.762
Swietenia macrophylla,9363.56,15.645,69.8,29.581,510.3459,0.546
Swietenia mahagoni,9050,14.157,84.809,18.28,212.2153,0.609
Symphonia globulifera,1862.2,16.115,79.615,27.629,2602.0036,0.589
Symphoricarpos albus,1318.87,14.504,46.794,1.561,6.742,0.78
Symphoricarpos mollis,500,16.5,27.36,0.6,7.6833,0.71
Symphyotrichum ascendens,96,15.15,95.238,0.1,0.63,0.206
Symphyotrichum ericoides,95.59,17.315,61.17,0.9,0.1095,0.238
Symphyotrichum falcatum,74,22.28,70.423,0.41,0.19,0.201
Symphyotrichum laeve,1127.75,14.884,63.985,0.927,0.37,0.209
Symphyotrichum lanceolatum,520.35,11.82,48.977,1.334,0.45,0.223
Symphyotrichum novae-angliae,571.38,24.1,42.688,0.885,0.5407,0.202
Symphyotrichum pilosum,315.28,23.9,55.197,0.883,0.64,0.207
Symphyotrichum puniceum,2583.56,24.952,48.64,1.156,0.3901,0.245
Symphytum tuberosum,2694.79,44.324,32.604,0.23,6.3691,0.154
Symplocos sumuntia,670,16.292,73.348,8.433,40.48,0.565
Syncarpia glomulifera,1458.13,9.742,137.226,18.641,2.8549,0.769
Synoum glandulosum,1610.06,16.055,88.029,3.795,198.1744,0.554
Syrmatium glabrum,7.4,20.728,100.96,1.225,1.0074,0.735
Syzygium acuminatissimum,1837.5,15.125,53.982,18.66,1350,0.675
Syzygium cumini,6701.07,17.222,111.265,6.803,556.6008,0.61
Syzygium jambos,61.83,12.493,115.473,15,2380,0.7
Tabebuia rosea,8632.4,17.428,60.612,40.912,30.8512,0.513
Tabernaemontana arborea,4930.52,31.083,53.119,17.792,228.3905,0.535
Tabernaemontana donnell-smithii,4941,22.415,53.177,20,70,0.53
Tachigali versicolor,3834.84,28.058,64.749,38.454,687.7008,0.55
Talisia nervosa,17940,17.134,126.757,9.538,488.02,0.665
Talisia princeps,5151,18.618,94.256,12.121,619.38,0.725
Tanacetum corymbosum,1092.93,14.69,49.005,0.646,0.4292,0.259
Tanacetum parthenium,3200.61,20.94,25.75,0.244,0.1346,0.185
Tanacetum vulgare,7211.78,20.603,53.564,0.704,0.1585,0.42
Tapirira guianensis,7648,18.048,73.433,15.709,80.4023,0.482
